id,population
DNARA1822N21_Bosmina_Canada_BOLD_AEA5586,North_America
DNARA1823N21_Bosmina_Canada_BOLD_AEA5586,North_America
DNARA2094N21_Bosmina_Canada_BOLD_AEA3695,North_America
DNARA2096N21_Bosmina_Canada_BOLD_AEA3695,North_America
DNARA2097N21_Bosmina_Canada_BOLD_AEA3695,North_America
DNARA2325N21_Bosmina_Canada_BOLD_AEA3695,North_America
DNARA2326N21_Bosmina_Canada_BOLD_AEA3695,North_America
DNARA2371N21_Bosmina_Canada_BOLD_AEA3695,North_America
DNARA2372N21_Bosmina_Canada_BOLD_AEA3695,North_America
DNARA2373N21_Bosmina_Canada_BOLD_AEA3695,North_America
DNARA2374N21_Bosmina_Canada_BOLD_AEA3695,North_America
DNARA2375N21_Bosmina_Canada_BOLD_AEA3695,North_America
DNARA2952N21_Bosmina_Canada_BOLD_AEA3695,North_America
DNARA2953N21_Bosmina_Canada_BOLD_AEA3695,North_America
DNARA2954N21_Bosmina_Canada_BOLD_AEA3695,North_America
DNARA2955N21_Bosmina_Canada_BOLD_AEA3695,North_America
DNARA2956N21_Bosmina_Canada_BOLD_AEA3695,North_America
DNARA2957N21_Bosmina_Canada_BOLD_AEA3695,North_America
DNARC013N19_Bosmina_Canada_BOLD_AEA3695,North_America
DNARC068N19_Bosmina_Canada_BOLD_AEA5586,North_America
DNARC070N19_Bosmina_Canada_BOLD_AEA5586,North_America
ECCAJ025N23_Bosmina_Ecuador_BOLD_ACA6834,South_America
ECCAJ036N23_Bosmina_Ecuador_BOLD_ACA6834,South_America
ECCAJ039N23_Bosmina_Ecuador_BOLD_ACA6834,South_America
ECCAJ040N23_Bosmina_Ecuador_BOLD_ACA6834,South_America
ECCAJ051N23_Bosmina_Ecuador_BOLD_ACA6834,South_America
ECCAJ067N23_Bosmina_Ecuador_BOLD_ACA6834,South_America
ECCAJ114N23_Bosmina_Ecuador_BOLD_ACA6834,South_America
ECCAJ129N23_Bosmina_Ecuador_BOLD_ACA6834,South_America
ECCAJ131N23_Bosmina_Ecuador_BOLD_ACA6834,South_America
ECCAJ132N23_Bosmina_Ecuador_BOLD_ACA6834,South_America
ECCAJ133N23_Bosmina_Ecuador_BOLD_ACA6834,South_America
ECCAJ134N23_Bosmina_Ecuador_BOLD_ACA6834,South_America
ECCAJ136N23_Bosmina_Ecuador_BOLD_ACA6834,South_America
ECCAJ247N23_Bosmina_Ecuador_BOLD_ACA6834,South_America
ECCAJ268N23_Bosmina_Ecuador_BOLD_ACA6834,South_America
ECCAJ270N23_Bosmina_Ecuador_BOLD_ACA6834,South_America
ECCAJ280N23_Bosmina_Ecuador_BOLD_ACA6834,South_America
ECCAJ304N23_B_huaronensis_Ecuador_BOLD_AFI2124,South_America
ECCAJ305N23_Bosmina_Ecuador_BOLD_ACA6834,South_America
ECCAJ308N23_B_huaronensis_Ecuador_BOLD_AFI2124,South_America
ECCAJ317N23_Bosmina_Ecuador_BOLD_ACA6834,South_America
ECCAJ388N23_B_huaronensis_Ecuador_BOLD_AFI2124,South_America
ECCAJ480N23_Bosmina_Ecuador_BOLD_ACA6834,South_America
ECCAJ485N24_Bosmina_Ecuador_BOLD_ACA6834,South_America
ECCAJ494N24_Bosmina_Ecuador_BOLD_ACA6834,South_America
ESP197N12_Bosmina_Spain_BOLD_ACA1800,Europe
ESP198N12_Bosmina_Spain_BOLD_ACA1800,Europe
ESP199N12_B_liederi_Spain_BOLD_ABZ8276,Europe
ESP200N12_B_liederi_Spain_BOLD_ABZ8276,Europe
ESP201N12_B_liederi_Spain_BOLD_ABZ8276,Europe
ESP292N12_B_longirostris_Spain_BOLD_ACA9544,Europe
ESP505N14_B_meridionalis_Czechia_BOLD_AAO1376,Europe
ESP506N14_Bosmina_Czechia_BOLD_AAO1376,Europe
ESP507N14_B_meridionalis_Czechia_BOLD_AAO1376,Europe
ESP508N14_B_meridionalis_Czechia_BOLD_AAO1376,Europe
ESP509N14_B_meridionalis_Czechia_BOLD_AAO1376,Europe
EXDB1873N21_B_tubicen_Mexico_BOLD_AAD9782,Central_America
EXDB448N20_B_tubicen_Mexico_BOLD_AAD9782,Central_America
EXDB579N21_B_tubicen_Mexico_BOLD_AAD9782,Central_America
EXDB731N21_B_tubicen_Mexico_BOLD_AAD9782,Central_America
EXDB732N21_B_tubicen_Mexico_BOLD_AAD9782,Central_America
GCHAR1120N19_Bosmina_Canada_BOLD_AEA3695,North_America
GCHAR1121N19_Bosmina_Canada_BOLD_AEA3695,North_America
GCHAR1122N19_Bosmina_Canada_BOLD_AEA3695,North_America
GLC040N06_B_liederi_Canada_Great_Lakes,North_America
KINBZ001N22_B_longirostris_Israel_BOLD_AEO5856,Asia_ME
KINBZ002N22_B_longirostris_Israel_BOLD_AEO5856,Asia_ME
KINBZ003N22_B_longirostris_Israel_BOLD_AEO5856,Asia_ME
KINBZ004N22_B_longirostris_Israel_BOLD_AEO5856,Asia_ME
KINBZ005N22_B_longirostris_Israel_BOLD_AEO5856,Asia_ME
KINBZ006N22_B_longirostris_Israel_BOLD_AEO5856,Asia_ME
KINBZ007N22_B_longirostris_Israel_BOLD_AEO5856,Asia_ME
KINBZ008N22_B_longirostris_Israel_BOLD_AEO5856,Asia_ME
KINBZ009N22_B_longirostris_Israel_BOLD_AAO1376,Asia_ME
KINBZ010N22_B_longirostris_Israel_BOLD_AEO5856,Asia_ME
KINBZ011N22_B_longirostris_Israel_BOLD_AEO5856,Asia_ME
Liederobosmina_american_longispina02,North_America
Liederobosmina_Argentina02a,South_America
